user_id,password,role_id,role_status_id
64312132,stu2312,4,1
65312121,stu1234,4,1
65312122,stu5678,4,1
65312123,stu91011,4,1
65312124,stu1213,4,1
65312125,stu1415,4,1
65312126,stu1617,4,1
65312127,stu1819,4,1
65312128,stu2021,4,1
65312129,stu2223,4,1
65312130,stu2425,4,1
66312121,stu1212,4,1
66312122,stu2212,4,1
67312111,stu1112,4,2
67312112,stu2112,4,1
admin0141,admin1234,2,1
admin0142,admin5678,2,1
admin0143,admin91011,2,1
admin0144,admin1213,2,1
admin0145,admin1415,2,1
admintest,12345678,2,1
CSIT0131,teach1234,3,1
CSIT0132,teach5678,3,1
CSIT0133,teach91011,3,1
CSIT0134,teach1213,3,1
CSIT0135,teach1415,3,1
CSIT0136,teach1617,3,1
CSIT0137,teach1819,3,1
CSIT0138,teach2021,3,1
CSIT0139,teach2223,3,1
CSIT0140,teach2425,3,1
exec0146,exec1234,1,1
exec0147,exec5678,1,1
exec0148,exec91011,1,1
exec0149,exec1213,1,1
exec0150,exec1415,1,1
executivete,12345678,1,1
tesrtrrrrr,1234567,3,1
test555666,12345678,3,1
